id,text,rating,published_at,source,is_discovery_related,theme,sentiment,key_quote
twitter:2069065508658307413,"@JDNebusiness vraie question, quelles sont les nouveautés chez Spotify ?

J'ai l'impression que l'app stagne depuis plusieurs années.

Ou même régresse, je suis déçu de mes Discover Weekly Playlist maintenant, alors qu'elles me faisaient découvrir plein de tracks avant...",,2026-06-22T14:30:33+00:00,twitter,True,repetition_fatigue,negative,stagne depuis plusieurs
twitter:2069814574329827637,"Anyone else feel like @Spotify music has completely flatlined? 😩

All my Discover Weekly, radio stations, and suggestions are just the same sounding songs on repeat. Zero variety anymore.

Seriously considering switching to @AppleMusic. Anyone else noticing this? https://t.co/4Z6c370JYl",,2026-06-24T16:07:04+00:00,twitter,True,repetition_fatigue,negative,same sounding songs
twitter:2069650265322532933,"@alexxyzd @ihabs11_ here's my ratings, which one and stuck are pretty good but i wouldn't listen to them on the regular https://t.co/TMkwYK89h9",,2026-06-24T05:14:10+00:00,twitter,True,discovery_effort,neutral,pretty good
twitter:2069223759093870971,Discover Weekly refreshed 👀 How are we feeling about this week's picks?,,2026-06-23T00:59:23+00:00,twitter,True,recommendation_quality,neutral,How are we feeling
twitter:2069825301798887911,Hey @Spotify whoever made my discover weekly this week needs to be taken out back and beaten with a large wrench,,2026-06-24T16:49:42+00:00,twitter,True,recommendation_quality,negative,needs to be taken
twitter:2069794738467660093,"@Spotify the new widget is complete ass, forcing everyone to use is even worse. Fix it",,2026-06-24T14:48:15+00:00,twitter,False,not_discovery_related,negative,complete ass
twitter:2069833908061884627,"@dollhevan not to ruin the party but it's normal for new spotify profiles to take a while before they're findable in search. when i looked it up a few hours after it came out, i had to click into it through a playlist.",,2026-06-24T17:23:53+00:00,twitter,False,not_discovery_related,neutral,
twitter:2069820822043210128,@TheNewsAgents Anyone having issues getting issues on Spotify? Seems to get a big delay in episodes appearing. Yesterday's didn't appear until today,,2026-06-24T16:31:54+00:00,twitter,False,not_discovery_related,negative,having issues
twitter:2069608038223269937,"@a_guadallama it takes a while, but its mid at best. that and it being more difficult to find new music are its biggest weaknesses",,2026-06-24T02:26:22+00:00,twitter,True,discovery_effort,negative,more difficult
twitter:2069794109292757082,New @SpotifyUK widget is dogshit. There. I said it.,,2026-06-24T14:45:45+00:00,twitter,False,not_discovery_related,negative,dogshit
twitter:2069799868256636935,@SpotifyStatus Have tried all the fixes and it works for a day then just stops again the following day. There's no issues with my phone otherwise its only the @Spotify app that's buggy. I've got 50% taken off my bill bit I shouldn't have to pay for an app I have to uninstall and reinstall daily,,2026-06-24T15:08:38+00:00,twitter,False,not_discovery_related,negative,buggy
twitter:2069822766656733356,"@nixedintentions Tinkering with the algo for discover section atm, You're going to notice a lot of things off for about a week, I had 0 plays yesterday because it was only recommending 5 artists on shuffle play 😂",,2026-06-24T16:39:37+00:00,twitter,True,recommendation_quality,neutral,only recommending 5 artists
twitter:2069384181579481098,SpotifyのDiscover Weeklyがここ2〜3週間くらいで急激にイマイチになったんだけどなんかレコメンドのロジック変わったのかな…,,2026-06-23T11:36:50+00:00,twitter,True,recommendation_quality,negative,イマイチになった
