id,text,rating,published_at,source,is_discovery_related,theme,sentiment,key_quote
7e08158b-d408-42b7-89cc-8a4ed6f6d9cc,good 😊,5,2026-06-23 15:40:03,play_store,False,not_discovery_related,positive,
1b23822a-80ab-4488-8f0e-d3d312a2daaf,I've enjoyed ads idk why there's music at times. Genuine experience. I've started to use Insta to play songs on loop for 30 seconds on their notes. I feel it's rather better when i have fresh new songs to listen to just make right friends and you can listen to good music everyday.,1,2026-06-23 15:34:47,play_store,True,discovery_effort,neutral,fresh new songs
f1421486-b901-4d84-b686-59a1536971f9,Good. But I have one problem for sometime now: the algorithm used to shuffle musics is kindda broken. Edit: 10 years and the shuffle algorithm hasn't been corrected edit2: new widget is broken on my pixel phone,2,2026-06-23 15:33:47,play_store,True,repetition_fatigue,negative,shuffle algorithm
2d770941-b4c0-4600-aa4a-3fe6b31e949b,The best,5,2026-06-23 15:30:08,play_store,False,not_discovery_related,positive,
a610515e-9486-441e-9a17-b8a4c7e780ee,"free version doesn't play any track you actually want to hear and is totally unusable. The desktop version even with track skipping restrictions is much better. This app is totally useless and unusable 🤣, why would I instal a music app to Not be able to play the music I want when I can just use another app that does play what I want?",1,2026-06-23 15:29:51,play_store,True,context_mismatch,negative,play what I want
fc956bf8-990e-4707-aeb9-b302b351854a,very baad,5,2026-06-23 15:27:32,play_store,False,not_discovery_related,negative,
1249eeb9-0c9c-4913-81b5-5d41c27fe503,too much ad,2,2026-06-23 15:27:05,play_store,False,not_discovery_related,negative,too much ad
bb2d86d0-4778-4d06-b5d9-ee3f1d055051,mast hei,5,2026-06-23 15:26:09,play_store,False,not_discovery_related,positive,
0a89c3b0-babd-4eff-bbe6-c382746d77af,this app is vry good_😊😊😊😊😊,5,2026-06-23 15:25:31,play_store,False,not_discovery_related,positive,
12aca6ce-e3a5-4aa7-ba5b-d8beeaf1dec4,this is okk app only,1,2026-06-23 15:19:03,play_store,False,not_discovery_related,neutral,
038f337d-836e-4cff-a61b-f5905aaad408,really love this app,5,2026-06-23 15:18:54,play_store,False,not_discovery_related,positive,love this app
8b853139-32e3-4dbd-899b-fe6273d826a4,nice,5,2026-06-23 15:18:33,play_store,False,not_discovery_related,positive,nice
86d5fc68-80f7-4192-9260-c399b9a96540,too many ads,4,2026-06-23 15:17:54,play_store,False,not_discovery_related,negative,too many ads
d9213496-9cb6-4843-b423-a5336e09b870,good music quality,5,2026-06-23 15:13:57,play_store,False,not_discovery_related,positive,good music
30330489-3f26-47d4-9a05-59b619cede35,poor and poor andpoor,1,2026-06-23 15:13:49,play_store,False,not_discovery_related,negative,poor
321e1cb5-3374-42e6-a06f-32c3c1d09ad4,bahut acha hai song sab,5,2026-06-23 15:11:03,play_store,False,not_discovery_related,positive,acha hai
1d58ce43-88b2-407e-b3ed-d210bedbe7b7,"why did you guys take down ""incel"" by lil watermark and most songs of psych ward, vol. 1,2,3??? like you guys just rid of songs for no reason just cuz you all bored, literally lovely app but you guys just fart it up for no reason at all",1,2026-06-23 15:07:41,play_store,True,repetition_fatigue,negative,rid of songs
d078f5bc-7737-4137-a2da-a803ca3eae6e,love it,5,2026-06-23 15:07:21,play_store,False,not_discovery_related,positive,love it
c8521c20-ec97-43c5-a868-388675bbe863,Antara aplikasi langgan music yang mempunyai simpanan lagu & irama yang banyak! Terbaik Spotify🌟🌟,5,2026-06-23 15:07:12,play_store,False,not_discovery_related,positive,Terbaik Spotify
c86c9494-9771-4418-a376-d761f9333790,I have been using Spotify Premium since last 8 years and I have never been disappointed. The only problem with the App is its login feature where you can have a specific ID and there is complexity to find your list account.,5,2026-06-23 15:05:41,play_store,False,not_discovery_related,positive,never disappointed
